words,frequency
1aad,2
2aad,2
3aad,1
4aad,1
5aad,1
6aad,2
7aad,2
8aad,2
9aad,1
a,18
aa,3
aabaha,5
aabahaa,15
aabahay,5
aabaheed,1
aabaheedna,3
aabaheey,1
aabahoo,1
aabahoode,7
aabahu,1
aabay,2
aabayaashu,1
aabayeel,2
aabayeelid,2
aabbaha,2
aabbaheed,2
aabbe,11
aabbihii,1
aabbihiis,3
aabbo,2
aabbur,3
aabburan,3
aabburay,1
aabburid,1
aabburkii,1
aabburnaan,1
aabburnaansho,1
aabburo,1
aabe,41
aabee,1
aabeheeyga,1
aabeyeelid,1
aabi,4
aabid,1
aabigiisii,1
aabihii,1
aabihiis,2
aabiyo,7
aabiyow,35
aabo,31
aaboiyo,1
aaboohada,1
aabtay,1
aabuhu,1
aabur,1
aabyoo,1
aad,1760
aada,10
aadaa,5
aadaamid,4
aadaan,4
aadam,3
aadamaha,1
aadamgiisana,3
aadami,6
aadamiga,3
aadaminnimo,1
aadamow,5
aadamuhu,1
aadan,137
aadanaha,6
aadane,1
aadaneyd,1
aadanka,1
aadantoo,5
aadatay,20
aaday,15
aadayaa,1
aadayo,2
aadbay,1
aaddamid,1
aaddan,26
aaddanaa,1
aaddanaan,1
aaddanaansho,1
aaddanyihiin,1
aaddi,2
aaddigu,3
aaddin,10
aaddiyey,1
aadee,5
aadeen,1
aadeer,1
aaden,3
aadey,17
aadi,7
aadid,42
aadidda,3
aadigaana,3
aadin,19
aadiyo,1
aadka,2
aadmi,12
aadmiga,57
aadmigaa,7
aadmigaba,1
aadmigiyo,5
aadmigo,1
aadmigu,37
aadmina,1
aadminnimo,1
aadmiyo,3
aadna,16
aadnee,13
aado,20
aadoo,1
aadooy,7
aadoy,3
aadse,1
aadsii,1
aadsiin,3
aadyar,1
aafa,1
aafee,1
aafeeyee,3
aafeyn,1
aafeysan,2
aafeysnaan,1
aafeysnaansho,1
aafo,8
aafotoona,1
aafow,1
aafoyaacihii,1
aagaamo,1
aagaan,2
aaggeeda,2
aah,14
aaha,3
aahahaddalna,1
aahiya,15
aakhir,3
aakhira,1
aakhiraa,3
aakhiraan,7
aakhirada,1
aakhirana,15
aakhiree,1
aakhiritaan,1
aakhiriyo,9
aakhirkeeda,1
aakhiro,117
aakhirona,1
aakhiroo,1
aal,9
aala,1
aalaa,29
aalaaba,4
aalaaye,1
ąalad,19
aaladaha,2
aaladda,2
ąaladee,1
ąaladeysan,1
ąaladeysnaan,1
ąaladeysnaansho,1
aalatay,11
aalay,77
aali,5
aalkol,2
aalkolo,2
aalli,1
aallid,5
aallo,2
aalo,1
aamaahdee,3
aamakaag,1
aaman,3
aamatay,6
aamay,62
aamayaanay,1
aami,52
aamiaani,1
aamii,3
aamiin,92
aamiinee,5
ąamiinsad,1
ąamiinsasho,2
ąamiinsi,1
ąamiinso,1
aamin,24
aamina,181
aaminaa,23
aaminaadood,3
aaminaay,19
aaminaayaa,3
aaminaaye,1
aaminaayoo,1
aaminay,19
aaminayee,1
aaminayn,1
aaminayoo,1
aaminaysaaye,3
aaminee,23
aamineen,3
aaminey,1
aamineysaay,1
aamini,3
aaminid,4
aaminine,1
aaminka,27
aaminkeenaa,1
aaminkoooda,3
aaminnaa,1
aamino,13
aaminoo,17
aaminsan,18
aaminsanayn,1
aaminsantahay,1
aaminsanyahay,13
aaminsanyihiin,1
aaminta,17
aamintaa,11
aamintaaye,3
aaminteeniiye,3
aammiin,2
ąammiinsad,1
ąammiinsasho,3
ąammiinso,1
ąammin,1
ąamminbax,1
ąamminbixid,1
ąammindarreysad,1
ąammindarreysasho,2
ąammindarreysi,1
ąamminid,1
aamminkaan,3
ąamminsan,3
ąamminsanaan,1
ąamminsanaansho,1
ąamminsanow,1
aamminsanyahay,1
ąamminsii,1
aammintaayee,3
aammus,2
aammusan,1
aammusdaran,1
aammusdarnaan,2
aammusdarnaansho,2
aammusi,2
aammusid,2
aammusiiyo,1
aammusin,1
aammusis,1
aammusnaan,1
aammusnaansho,1
aammusnaantii,1
aammusnow,1
aamo,25
aamu,17
aamus,12
aamusaa,3
aamusay,1
aamusee,5
aamusi,1
aamusid,2
aamusiin,1
aamusiinbaa,1
aamusiiyee,3
aamusine,1
aamusinee,3
aamusnaadaa,1
aamusnaado,1
aamusnaayee,3
aamusnaayoo,3
aamusnaayoon,1
aamustoo,3
aan,5990
aana,13
aanad,59
aanaguna,3
aanan,146
aananaynan,8
aanay,100
aanayn,5
aanaynu,16
aanaysad,1
aanaysasho,2
aanaysi,1
aanayso,2
aanba,3
aane,1
aanee,1
aaneey,1
aaney,21
aanfacada,1
aangoogniyo,1
aaniguna,7
aanka,15
aanku,5
aankuxidhar,1
aanna,2
aannaa,1
aannayd,2
aannu,10
aano,4
aanoon,7
aanse,4
aantay,72
aanu,62
aaqaliskiisii,1
aaqiro,1
aaqiroo,1
aar,105
aaraa,2
aarad,2
aaradee,1
aaradeysan,1
aaradeysnaan,1
aaradeysnaansho,1
aaran,2
aarana,1
aaranku,1
aarasadaa,1
aarbax,2
aarbixid,1
aardoon,1
aardoonad,2
aardoonasho,2
aardoono,1
aare,3
aargoosad,2
aargoosasho,2
aargoosi,1
aargooso,1
aargud,2
aargudashadaaduna,3
aargudasho,3
aargudee,1
aargudid,2
aargudis,1
aargudo,2
aarid,1
aarin,1
aaris,1
aarka,7
aarkan,1
aarkiyo,3
aarkuba,1
aarna,1
aarow,1
aarsadaaa,1
aarsan,17
aarsashaddoon,1
aarsasho,3
aarsi,1
aarsiga,3
aarso,1
aas,2
aasaar,1
aasaarta,1
aasaas,5
aasaasan,2
aasaasay,3
aasaasi,4
aasaasid,1
aasaasiga,12
aasaaska,4
aasaaskii,1
aasaasmid,1
aasaasnaansho,1
aasan,11
aasani,3
aasayee,1
aasayo,1
aase,1
aashay,90
aashuun,3
aasi,1
aasid,9
aasidh,1
aasidhka,2
aasiya,11
aasiyada,2
aasiyana,1
aaskayga,1
aaskeyga,1
aasku,2
aasluubta,1
aasmi,7
aasnaa,4
aasnaan,1
aasnaansho,1
aasnayd,1
aasney,1
aasnow,1
aaso,5
aastaa,1
aastaan,5
aastee,1
aasteen,1
aatay,24
aawada,7
aawadaa,47
aawaday,1
aawadeed,5
aawadii,1
aaway,109
aawaye,2
aawey,5
aawgaa,1
aawi,1
aawil,2
aawilaayaad,1
aawilid,1
aawin,1
aawis,1
aawo,1
aay,18
aayaa,5
aayaahaa,1
aayaal,3
aayaamoo,3
aayaan,7
aayaaye,3
aayad,6
aayadaha,1
aayadana,1
aayadda,1
aayaddaha,1
aayaha,66
aayahaan,1
aayahay,7
aayahaygii,3
aayaheeda,3
aayaheena,1
aayaheeniiye,3
aayaheennu,1
aayahii,1
aayahood,3
aayakatalin,1
aayakatashi,1
aayan,2
aayar,55
aayaraayar,1
aayatiin,36
aayaxumaan,3
aayaxumaansho,1
aayaxumi,1
aayaxumo,4
aayaxun,1
aayay,10
aayayee,1
aayday,5
aaye,2
aayee,3
aayi,13
aayid,2
aayihii,5
aayihiii,1
aayihiisiyo,1
aayirtee,1
aayis,1
aayiyo,1
aaynigeed,1
aayo,49
aayoonayn,1
ab,19
abaa,1
abaaal,1
abaab,5
abaabi,1
abaabid,4
abaabin,2
abaabis,2
abaabisiyo,1
abaabul,2
abaabulaanoo,1
abaabulaaye,1
abaabulan,2
abaabulayee,5
abaabulaynaa,1
abaabulaysaa,5
abaabuleysaa,7
abaabulid,5
abaabulkeygiyo,1
abaabulnaan,1
abaabulnaansho,1
abaabulyee,1
abaabushoo,1
abaad,4
abaadi,2
abaadin,1
abaadir,1
abaadirow,5
abaado,3
abaadsii,1
abaadsiin,1
abaahi,5
abaahidoon,1
abaahin,5
abaahiqab,1
abaahis,1
abaahiya,1
abaahiyid,3
abaahiyo,2
abaaji,1
abaajidee,3
abaal,169
abaalaay,1
abaalceli,1
abaalcelin,1
abaalcelis,1
